ts;id;resource;event
Sat Feb 26 23:06:33 CET 2022;1431;agv;transport_to_cell1_buffer
Sat Feb 26 23:06:33 CET 2022;1430;cell1;cell1_operation
Sat Feb 26 23:06:38 CET 2022;1482;system;new_order
Sat Feb 26 23:06:38 CET 2022;1482;system;direct_to_line1
Sat Feb 26 23:06:47 CET 2022;1483;system;new_order
Sat Feb 26 23:06:47 CET 2022;1483;system;direct_to_line1
Sat Feb 26 23:07:37 CET 2022;1432;agv;transport_to_cell2_buffer
Sat Feb 26 23:08:42 CET 2022;1484;system;new_order
Sat Feb 26 23:08:42 CET 2022;1484;system;direct_to_line2
Sat Feb 26 23:09:30 CET 2022;1413;cell2_buffer;enter_cell2
Sat Feb 26 23:09:30 CET 2022;1413;cell2;cell2_operation
Sat Feb 26 23:09:36 CET 2022;1410;system;order_completed
Sat Feb 26 23:10:29 CET 2022;1433;agv;transport_to_cell2_buffer
Sat Feb 26 23:13:08 CET 2022;1485;system;new_order
Sat Feb 26 23:13:08 CET 2022;1485;system;direct_to_line2
Sat Feb 26 23:14:02 CET 2022;1413;system;order_completed
Sat Feb 26 23:14:10 CET 2022;1431;cell1_buffer;enter_cell1
Sat Feb 26 23:14:10 CET 2022;1431;cell1;cell1_operation
Sat Feb 26 23:14:16 CET 2022;1430;system;order_completed
Sat Feb 26 23:14:22 CET 2022;1486;system;new_order
Sat Feb 26 23:14:22 CET 2022;1486;system;direct_to_line1
Sat Feb 26 23:17:17 CET 2022;1487;system;new_order
Sat Feb 26 23:17:17 CET 2022;1487;system;direct_to_line2
Sat Feb 26 23:19:23 CET 2022;1431;system;order_completed
Sat Feb 26 23:20:53 CET 2022;1488;system;new_order
Sat Feb 26 23:20:53 CET 2022;1488;system;direct_to_line2
Sat Feb 26 23:23:58 CET 2022;1489;system;new_order
Sat Feb 26 23:23:58 CET 2022;1489;system;direct_to_line1
Sat Feb 26 23:24:25 CET 2022;1414;cell2_buffer;enter_cell2
Sat Feb 26 23:24:25 CET 2022;1414;cell2;cell2_operation
Sat Feb 26 23:24:25 CET 2022;1434;agv;transport_to_cell2_buffer
Sat Feb 26 23:25:39 CET 2022;1490;system;new_order
Sat Feb 26 23:25:39 CET 2022;1490;system;direct_to_line2
Sat Feb 26 23:27:52 CET 2022;1491;system;new_order
Sat Feb 26 23:27:52 CET 2022;1491;system;direct_to_line1
Sat Feb 26 23:30:15 CET 2022;1417;cell2_buffer;enter_cell2
Sat Feb 26 23:30:15 CET 2022;1417;cell2;cell2_operation
Sat Feb 26 23:30:15 CET 2022;1435;agv;transport_to_cell1_buffer
Sat Feb 26 23:30:21 CET 2022;1414;system;order_completed
Sat Feb 26 23:31:15 CET 2022;1436;agv;transport_to_cell2_buffer
Sat Feb 26 23:33:33 CET 2022;1435;cell1_buffer;enter_cell1
Sat Feb 26 23:33:33 CET 2022;1435;cell1;cell1_operation
Sat Feb 26 23:35:09 CET 2022;1422;cell2_buffer;enter_cell2
Sat Feb 26 23:35:09 CET 2022;1422;cell2;cell2_operation
Sat Feb 26 23:35:15 CET 2022;1417;system;order_completed
Sat Feb 26 23:36:21 CET 2022;1492;system;new_order
Sat Feb 26 23:36:21 CET 2022;1492;system;direct_to_line2
Sat Feb 26 23:37:39 CET 2022;1493;system;new_order
Sat Feb 26 23:37:39 CET 2022;1493;system;direct_to_line1
Sat Feb 26 23:39:33 CET 2022;1494;system;new_order
Sat Feb 26 23:39:33 CET 2022;1494;system;direct_to_line2
Sat Feb 26 23:40:57 CET 2022;1435;system;order_completed
Sat Feb 26 23:43:12 CET 2022;1495;system;new_order
Sat Feb 26 23:43:12 CET 2022;1495;system;direct_to_line2
Sat Feb 26 23:43:15 CET 2022;1422;system;order_completed
Sat Feb 26 23:43:47 CET 2022;1437;agv;transport_to_cell2_buffer
Sat Feb 26 23:45:31 CET 2022;1496;system;new_order
Sat Feb 26 23:45:31 CET 2022;1496;system;direct_to_line2
Sat Feb 26 23:53:44 CET 2022;1423;cell2_buffer;enter_cell2
Sat Feb 26 23:53:44 CET 2022;1423;cell2;cell2_operation
Sat Feb 26 23:53:44 CET 2022;1438;agv;transport_to_cell1_buffer
Sat Feb 26 23:55:52 CET 2022;1438;cell1_buffer;enter_cell1
Sat Feb 26 23:55:52 CET 2022;1439;agv;transport_to_cell2_buffer
Sat Feb 26 23:55:52 CET 2022;1438;cell1;cell1_operation
Sat Feb 26 23:56:36 CET 2022;1497;system;new_order
Sat Feb 26 23:56:36 CET 2022;1497;system;direct_to_line1
Sat Feb 26 23:58:13 CET 2022;1498;system;new_order
Sat Feb 26 23:58:13 CET 2022;1498;system;direct_to_line1
Sat Feb 26 23:59:00 CET 2022;1424;cell2_buffer;enter_cell2
Sat Feb 26 23:59:00 CET 2022;1424;cell2;cell2_operation
Sat Feb 26 23:59:06 CET 2022;1423;system;order_completed
Sat Feb 26 23:59:24 CET 2022;1440;agv;transport_to_cell2_buffer
Sun Feb 27 00:02:17 CET 2022;1438;system;order_completed
Sun Feb 27 00:03:42 CET 2022;1499;system;new_order
Sun Feb 27 00:03:42 CET 2022;1499;system;direct_to_line1
Sun Feb 27 00:05:20 CET 2022;1426;cell2_buffer;enter_cell2
Sun Feb 27 00:05:20 CET 2022;1426;cell2;cell2_operation
Sun Feb 27 00:05:20 CET 2022;1441;agv;transport_to_cell1_buffer
Sun Feb 27 00:05:26 CET 2022;1424;system;order_completed
Sun Feb 27 00:06:00 CET 2022;1442;agv;transport_to_cell1_buffer
Sun Feb 27 00:07:06 CET 2022;1443;agv;transport_to_cell1_buffer
Sun Feb 27 00:08:28 CET 2022;1500;system;new_order
Sun Feb 27 00:08:28 CET 2022;1500;system;direct_to_line2
Sun Feb 27 00:09:45 CET 2022;1501;system;new_order
Sun Feb 27 00:09:45 CET 2022;1501;system;direct_to_line2
Sun Feb 27 00:10:59 CET 2022;1428;cell2_buffer;enter_cell2
