ts;resource;state
Thu Feb 24 20:43:42 CET 2022;agv;busy
Thu Feb 24 20:45:11 CET 2022;cell2;idle
Thu Feb 24 20:45:11 CET 2022;cell2;failure
Thu Feb 24 20:55:21 CET 2022;cell2;idle
Thu Feb 24 20:55:21 CET 2022;cell2;busy
Thu Feb 24 20:55:21 CET 2022;agv;idle
Thu Feb 24 20:55:21 CET 2022;agv;busy
Thu Feb 24 21:03:55 CET 2022;cell2;idle
Thu Feb 24 21:03:55 CET 2022;cell2;busy
Thu Feb 24 21:03:55 CET 2022;agv;idle
Thu Feb 24 21:03:55 CET 2022;agv;busy
Thu Feb 24 21:05:33 CET 2022;agv;idle
Thu Feb 24 21:05:33 CET 2022;cell1;busy
Thu Feb 24 21:05:33 CET 2022;agv;busy
Thu Feb 24 21:07:42 CET 2022;agv;idle
Thu Feb 24 21:07:42 CET 2022;agv;busy
Thu Feb 24 21:10:49 CET 2022;cell2;idle
Thu Feb 24 21:10:49 CET 2022;cell2;busy
Thu Feb 24 21:10:49 CET 2022;agv;idle
Thu Feb 24 21:10:49 CET 2022;agv;busy
Thu Feb 24 21:11:14 CET 2022;cell1;idle
Thu Feb 24 21:11:14 CET 2022;cell1;busy
Thu Feb 24 21:12:07 CET 2022;agv;idle
Thu Feb 24 21:12:07 CET 2022;agv;busy
Thu Feb 24 21:15:34 CET 2022;cell2;idle
Thu Feb 24 21:15:34 CET 2022;cell2;failure
Thu Feb 24 21:16:08 CET 2022;agv;idle
Thu Feb 24 21:16:08 CET 2022;agv;busy
Thu Feb 24 21:17:34 CET 2022;cell1;idle
Thu Feb 24 21:17:34 CET 2022;cell1;busy
Thu Feb 24 21:22:45 CET 2022;cell1;idle
Thu Feb 24 21:22:45 CET 2022;cell1;busy
Thu Feb 24 21:27:07 CET 2022;cell2;idle
Thu Feb 24 21:27:07 CET 2022;cell2;busy
Thu Feb 24 21:27:07 CET 2022;agv;idle
Thu Feb 24 21:27:07 CET 2022;agv;busy
Thu Feb 24 21:27:14 CET 2022;cell1;idle
Thu Feb 24 21:33:13 CET 2022;cell2;idle
Thu Feb 24 21:33:13 CET 2022;cell2;busy
Thu Feb 24 21:33:13 CET 2022;agv;idle
Thu Feb 24 21:33:13 CET 2022;agv;busy
Thu Feb 24 21:34:15 CET 2022;agv;idle
Thu Feb 24 21:34:15 CET 2022;cell1;busy
Thu Feb 24 21:34:15 CET 2022;agv;busy
Thu Feb 24 21:36:47 CET 2022;agv;idle
Thu Feb 24 21:36:47 CET 2022;agv;busy
Thu Feb 24 21:38:49 CET 2022;cell2;idle
Thu Feb 24 21:38:49 CET 2022;cell2;busy
Thu Feb 24 21:39:55 CET 2022;cell1;idle
Thu Feb 24 21:39:55 CET 2022;cell1;busy
Thu Feb 24 21:40:21 CET 2022;agv;idle
Thu Feb 24 21:40:21 CET 2022;agv;busy
Thu Feb 24 21:42:07 CET 2022;agv;idle
Thu Feb 24 21:42:07 CET 2022;agv;busy
Thu Feb 24 21:43:54 CET 2022;cell2;idle
Thu Feb 24 21:43:54 CET 2022;cell2;busy
Thu Feb 24 21:45:19 CET 2022;cell1;idle
Thu Feb 24 21:45:19 CET 2022;cell1;busy
Thu Feb 24 21:47:27 CET 2022;cell2;idle
Thu Feb 24 21:47:27 CET 2022;cell2;failure
Thu Feb 24 21:47:50 CET 2022;agv;idle
Thu Feb 24 21:47:50 CET 2022;agv;busy
Thu Feb 24 21:50:48 CET 2022;cell1;idle
Thu Feb 24 21:55:59 CET 2022;cell2;idle
Thu Feb 24 21:55:59 CET 2022;cell2;busy
Thu Feb 24 21:55:59 CET 2022;agv;idle
Thu Feb 24 21:55:59 CET 2022;agv;busy
Thu Feb 24 22:01:38 CET 2022;cell2;idle
Thu Feb 24 22:01:38 CET 2022;cell2;busy
Thu Feb 24 22:01:38 CET 2022;agv;idle
Thu Feb 24 22:01:38 CET 2022;agv;busy
Thu Feb 24 22:08:22 CET 2022;cell2;idle
Thu Feb 24 22:08:22 CET 2022;cell2;busy
Thu Feb 24 22:08:22 CET 2022;agv;idle
Thu Feb 24 22:08:22 CET 2022;agv;busy
Thu Feb 24 22:08:33 CET 2022;cell1;failure
Thu Feb 24 22:14:00 CET 2022;cell2;idle
Thu Feb 24 22:14:00 CET 2022;cell2;failure
Thu Feb 24 22:18:12 CET 2022;cell1;idle
Thu Feb 24 22:25:47 CET 2022;cell2;idle
Thu Feb 24 22:25:47 CET 2022;cell2;busy
Thu Feb 24 22:25:47 CET 2022;agv;idle
Thu Feb 24 22:25:47 CET 2022;agv;busy
Thu Feb 24 22:26:47 CET 2022;agv;idle
Thu Feb 24 22:26:47 CET 2022;cell1;busy
Thu Feb 24 22:26:47 CET 2022;agv;busy
Thu Feb 24 22:31:53 CET 2022;cell2;idle
Thu Feb 24 22:31:53 CET 2022;cell2;busy
Thu Feb 24 22:31:53 CET 2022;agv;idle
Thu Feb 24 22:31:53 CET 2022;agv;busy
Thu Feb 24 22:32:54 CET 2022;cell1;idle
Thu Feb 24 22:32:54 CET 2022;cell1;failure
Thu Feb 24 22:33:25 CET 2022;agv;idle
Thu Feb 24 22:33:25 CET 2022;agv;busy
Thu Feb 24 22:34:59 CET 2022;agv;idle
Thu Feb 24 22:34:59 CET 2022;agv;busy
Thu Feb 24 22:35:55 CET 2022;agv;idle
Thu Feb 24 22:35:55 CET 2022;agv;busy
Thu Feb 24 22:37:56 CET 2022;cell2;idle
Thu Feb 24 22:37:56 CET 2022;cell2;busy
Thu Feb 24 22:39:46 CET 2022;agv;idle
Thu Feb 24 22:39:46 CET 2022;agv;busy
Thu Feb 24 22:42:33 CET 2022;cell2;idle
Thu Feb 24 22:42:33 CET 2022;cell2;busy
Thu Feb 24 22:42:37 CET 2022;cell1;idle
Thu Feb 24 22:42:37 CET 2022;cell1;busy
Thu Feb 24 22:43:54 CET 2022;agv;idle
Thu Feb 24 22:43:54 CET 2022;agv;busy
Thu Feb 24 22:45:13 CET 2022;agv;idle
Thu Feb 24 22:45:13 CET 2022;agv;busy
Thu Feb 24 22:47:39 CET 2022;cell2;idle
Thu Feb 24 22:47:39 CET 2022;cell2;failure
Thu Feb 24 22:48:24 CET 2022;cell1;idle
Thu Feb 24 22:48:24 CET 2022;cell1;busy
Thu Feb 24 22:49:32 CET 2022;agv;idle
Thu Feb 24 22:49:32 CET 2022;agv;busy
Thu Feb 24 22:51:07 CET 2022;agv;idle
Thu Feb 24 22:51:07 CET 2022;agv;busy
Thu Feb 24 22:53:17 CET 2022;cell1;idle
Thu Feb 24 22:53:17 CET 2022;cell1;busy
Thu Feb 24 22:54:31 CET 2022;agv;idle
Thu Feb 24 22:54:31 CET 2022;agv;busy
Thu Feb 24 22:56:34 CET 2022;agv;idle
Thu Feb 24 22:56:34 CET 2022;agv;busy
Thu Feb 24 22:58:52 CET 2022;cell2;idle
Thu Feb 24 22:58:52 CET 2022;cell2;busy
Thu Feb 24 22:59:36 CET 2022;agv;idle
Thu Feb 24 22:59:36 CET 2022;agv;busy
Thu Feb 24 23:00:22 CET 2022;agv;idle
Thu Feb 24 23:00:22 CET 2022;agv;busy
Thu Feb 24 23:01:03 CET 2022;cell1;idle
Thu Feb 24 23:01:03 CET 2022;cell1;busy
Thu Feb 24 23:02:00 CET 2022;agv;idle
Thu Feb 24 23:02:00 CET 2022;agv;busy
Thu Feb 24 23:05:13 CET 2022;cell2;idle
Thu Feb 24 23:05:13 CET 2022;cell2;busy
Thu Feb 24 23:05:13 CET 2022;agv;idle
Thu Feb 24 23:05:13 CET 2022;agv;busy
Thu Feb 24 23:07:53 CET 2022;agv;idle
Thu Feb 24 23:07:53 CET 2022;agv;busy
Thu Feb 24 23:08:37 CET 2022;cell1;idle
Thu Feb 24 23:08:37 CET 2022;cell1;busy
Thu Feb 24 23:12:05 CET 2022;cell2;idle
Thu Feb 24 23:12:05 CET 2022;cell2;busy
Thu Feb 24 23:12:05 CET 2022;agv;idle
Thu Feb 24 23:12:05 CET 2022;agv;busy
Thu Feb 24 23:14:29 CET 2022;cell1;idle
Thu Feb 24 23:14:29 CET 2022;cell1;busy
Thu Feb 24 23:17:12 CET 2022;cell2;idle
Thu Feb 24 23:17:12 CET 2022;cell2;failure
Thu Feb 24 23:19:45 CET 2022;cell1;idle
Thu Feb 24 23:19:45 CET 2022;cell1;busy
Thu Feb 24 23:25:10 CET 2022;cell1;idle
Thu Feb 24 23:25:10 CET 2022;cell1;busy
Thu Feb 24 23:27:35 CET 2022;cell2;idle
Thu Feb 24 23:27:35 CET 2022;cell2;busy
Thu Feb 24 23:27:35 CET 2022;agv;idle
Thu Feb 24 23:27:35 CET 2022;agv;busy
Thu Feb 24 23:31:24 CET 2022;cell1;idle
Thu Feb 24 23:31:24 CET 2022;cell1;busy
Thu Feb 24 23:33:28 CET 2022;cell2;idle
Thu Feb 24 23:33:28 CET 2022;cell2;busy
Thu Feb 24 23:33:28 CET 2022;agv;idle
Thu Feb 24 23:33:28 CET 2022;agv;busy
Thu Feb 24 23:35:54 CET 2022;agv;idle
Thu Feb 24 23:35:54 CET 2022;agv;busy
Thu Feb 24 23:35:55 CET 2022;cell1;idle
Thu Feb 24 23:35:55 CET 2022;cell1;busy
Thu Feb 24 23:38:27 CET 2022;cell2;idle
Thu Feb 24 23:38:27 CET 2022;cell2;busy
Thu Feb 24 23:40:50 CET 2022;agv;idle
Thu Feb 24 23:40:50 CET 2022;agv;busy
Thu Feb 24 23:41:39 CET 2022;agv;idle
Thu Feb 24 23:41:39 CET 2022;agv;busy
Thu Feb 24 23:43:26 CET 2022;agv;idle
Thu Feb 24 23:43:26 CET 2022;agv;busy
Thu Feb 24 23:43:58 CET 2022;cell1;idle
Thu Feb 24 23:43:58 CET 2022;cell1;busy
Thu Feb 24 23:44:41 CET 2022;cell2;idle
Thu Feb 24 23:44:41 CET 2022;cell2;busy
Thu Feb 24 23:47:10 CET 2022;agv;idle
Thu Feb 24 23:47:10 CET 2022;agv;busy
Thu Feb 24 23:50:10 CET 2022;cell2;idle
Thu Feb 24 23:50:10 CET 2022;cell2;failure
Thu Feb 24 23:50:20 CET 2022;cell1;idle
Thu Feb 24 23:50:20 CET 2022;cell1;busy
Thu Feb 24 23:51:27 CET 2022;agv;idle
Thu Feb 24 23:51:27 CET 2022;agv;busy
Thu Feb 24 23:56:01 CET 2022;cell1;idle
Thu Feb 24 23:56:01 CET 2022;cell1;busy
Fri Feb 25 00:02:15 CET 2022;cell2;idle
Fri Feb 25 00:02:15 CET 2022;cell2;busy
Fri Feb 25 00:02:15 CET 2022;agv;idle
Fri Feb 25 00:02:15 CET 2022;agv;busy
Fri Feb 25 00:02:44 CET 2022;cell1;idle
Fri Feb 25 00:02:44 CET 2022;cell1;busy
Fri Feb 25 00:08:11 CET 2022;cell2;idle
Fri Feb 25 00:08:11 CET 2022;cell2;busy
Fri Feb 25 00:08:11 CET 2022;agv;idle
Fri Feb 25 00:08:11 CET 2022;agv;busy
Fri Feb 25 00:09:05 CET 2022;cell1;idle
Fri Feb 25 00:09:05 CET 2022;cell1;busy
Fri Feb 25 00:14:37 CET 2022;cell2;idle
Fri Feb 25 00:14:37 CET 2022;cell2;busy
Fri Feb 25 00:14:37 CET 2022;agv;idle
Fri Feb 25 00:14:37 CET 2022;agv;busy
Fri Feb 25 00:15:08 CET 2022;cell1;idle
Fri Feb 25 00:19:45 CET 2022;cell2;idle
Fri Feb 25 00:19:45 CET 2022;cell2;busy
Fri Feb 25 00:19:45 CET 2022;agv;idle
Fri Feb 25 00:19:45 CET 2022;agv;busy
Fri Feb 25 00:20:41 CET 2022;agv;idle
Fri Feb 25 00:20:41 CET 2022;cell1;busy
Fri Feb 25 00:20:41 CET 2022;agv;busy
Fri Feb 25 00:24:36 CET 2022;cell2;idle
Fri Feb 25 00:24:36 CET 2022;cell2;failure
Fri Feb 25 00:27:16 CET 2022;cell1;idle
Fri Feb 25 00:34:03 CET 2022;cell1;failure
Fri Feb 25 00:35:55 CET 2022;cell2;idle
Fri Feb 25 00:35:55 CET 2022;cell2;busy
Fri Feb 25 00:35:55 CET 2022;agv;idle
Fri Feb 25 00:35:55 CET 2022;agv;busy
Fri Feb 25 00:36:47 CET 2022;agv;idle
Fri Feb 25 00:36:47 CET 2022;agv;busy
Fri Feb 25 00:39:35 CET 2022;agv;idle
Fri Feb 25 00:39:35 CET 2022;agv;busy
Fri Feb 25 00:40:13 CET 2022;agv;idle
Fri Feb 25 00:40:13 CET 2022;agv;busy
Fri Feb 25 00:41:31 CET 2022;cell2;idle
Fri Feb 25 00:41:31 CET 2022;cell2;busy
Fri Feb 25 00:41:40 CET 2022;agv;idle
Fri Feb 25 00:41:40 CET 2022;agv;busy
Fri Feb 25 00:44:18 CET 2022;agv;idle
Fri Feb 25 00:44:18 CET 2022;agv;busy
Fri Feb 25 00:44:51 CET 2022;cell1;idle
Fri Feb 25 00:44:51 CET 2022;cell1;busy
Fri Feb 25 00:46:25 CET 2022;cell2;idle
Fri Feb 25 00:46:25 CET 2022;cell2;busy
Fri Feb 25 00:48:21 CET 2022;agv;idle
Fri Feb 25 00:48:21 CET 2022;agv;busy
Fri Feb 25 00:49:42 CET 2022;cell1;idle
Fri Feb 25 00:49:42 CET 2022;cell1;busy
Fri Feb 25 00:51:09 CET 2022;agv;idle
Fri Feb 25 00:51:09 CET 2022;agv;busy
Fri Feb 25 00:53:17 CET 2022;cell2;idle
Fri Feb 25 00:53:17 CET 2022;cell2;failure
Fri Feb 25 00:56:57 CET 2022;cell1;idle
Fri Feb 25 00:56:57 CET 2022;cell1;busy
Fri Feb 25 01:02:49 CET 2022;cell1;idle
Fri Feb 25 01:02:49 CET 2022;cell1;busy
Fri Feb 25 01:03:27 CET 2022;cell2;idle
Fri Feb 25 01:03:27 CET 2022;cell2;busy
Fri Feb 25 01:03:27 CET 2022;agv;idle
Fri Feb 25 01:03:27 CET 2022;agv;failure
Fri Feb 25 01:08:42 CET 2022;cell1;idle
Fri Feb 25 01:08:42 CET 2022;cell1;busy
Fri Feb 25 01:09:31 CET 2022;cell2;idle
Fri Feb 25 01:09:31 CET 2022;cell2;busy
Fri Feb 25 01:12:44 CET 2022;agv;idle
Fri Feb 25 01:12:44 CET 2022;agv;busy
Fri Feb 25 01:13:52 CET 2022;agv;idle
Fri Feb 25 01:13:52 CET 2022;agv;busy
Fri Feb 25 01:14:36 CET 2022;cell1;idle
Fri Feb 25 01:14:36 CET 2022;cell1;busy
Fri Feb 25 01:16:27 CET 2022;agv;idle
Fri Feb 25 01:16:27 CET 2022;agv;busy
Fri Feb 25 01:18:50 CET 2022;cell2;idle
Fri Feb 25 01:18:50 CET 2022;cell2;busy
Fri Feb 25 01:19:04 CET 2022;agv;idle
Fri Feb 25 01:19:04 CET 2022;agv;busy
Fri Feb 25 01:20:08 CET 2022;cell1;idle
Fri Feb 25 01:20:08 CET 2022;cell1;busy
Fri Feb 25 01:22:27 CET 2022;agv;idle
Fri Feb 25 01:22:27 CET 2022;agv;busy
Fri Feb 25 01:24:59 CET 2022;agv;idle
Fri Feb 25 01:24:59 CET 2022;agv;busy
Fri Feb 25 01:26:06 CET 2022;cell2;idle
Fri Feb 25 01:26:06 CET 2022;cell2;failure
Fri Feb 25 01:26:09 CET 2022;cell1;idle
Fri Feb 25 01:26:09 CET 2022;cell1;busy
Fri Feb 25 01:33:28 CET 2022;cell1;idle
Fri Feb 25 01:33:28 CET 2022;cell1;failure
Fri Feb 25 01:37:24 CET 2022;cell2;idle
Fri Feb 25 01:37:24 CET 2022;cell2;busy
Fri Feb 25 01:37:24 CET 2022;agv;idle
Fri Feb 25 01:37:24 CET 2022;agv;busy
Fri Feb 25 01:37:46 CET 2022;agv;idle
Fri Feb 25 01:37:46 CET 2022;agv;busy
Fri Feb 25 01:40:48 CET 2022;agv;idle
Fri Feb 25 01:40:48 CET 2022;agv;busy
Fri Feb 25 01:44:20 CET 2022;cell1;idle
Fri Feb 25 01:44:20 CET 2022;cell1;busy
Fri Feb 25 01:44:50 CET 2022;cell2;idle
Fri Feb 25 01:44:50 CET 2022;cell2;busy
Fri Feb 25 01:44:50 CET 2022;agv;idle
Fri Feb 25 01:44:50 CET 2022;agv;busy
Fri Feb 25 01:45:46 CET 2022;agv;idle
Fri Feb 25 01:45:46 CET 2022;agv;busy
Fri Feb 25 01:51:49 CET 2022;cell1;idle
Fri Feb 25 01:51:49 CET 2022;cell1;busy
Fri Feb 25 01:52:02 CET 2022;cell2;idle
Fri Feb 25 01:52:02 CET 2022;cell2;busy
Fri Feb 25 01:52:02 CET 2022;agv;idle
Fri Feb 25 01:52:02 CET 2022;agv;busy
Fri Feb 25 01:58:18 CET 2022;cell1;idle
Fri Feb 25 01:58:18 CET 2022;cell1;busy
Fri Feb 25 01:58:52 CET 2022;cell2;idle
Fri Feb 25 01:58:52 CET 2022;cell2;failure
Fri Feb 25 02:04:34 CET 2022;cell1;idle
Fri Feb 25 02:06:31 CET 2022;cell2;idle
Fri Feb 25 02:06:31 CET 2022;cell2;busy
Fri Feb 25 02:06:31 CET 2022;agv;idle
Fri Feb 25 02:06:31 CET 2022;agv;busy
Fri Feb 25 02:13:10 CET 2022;cell2;idle
Fri Feb 25 02:13:10 CET 2022;cell2;busy
Fri Feb 25 02:13:10 CET 2022;agv;idle
Fri Feb 25 02:13:10 CET 2022;agv;busy
Fri Feb 25 02:19:43 CET 2022;cell2;idle
Fri Feb 25 02:19:43 CET 2022;cell2;busy
Fri Feb 25 02:19:43 CET 2022;agv;idle
Fri Feb 25 02:19:43 CET 2022;agv;busy
Fri Feb 25 02:20:39 CET 2022;agv;idle
Fri Feb 25 02:20:39 CET 2022;cell1;busy
Fri Feb 25 02:20:39 CET 2022;agv;busy
Fri Feb 25 02:23:29 CET 2022;agv;idle
Fri Feb 25 02:23:29 CET 2022;agv;busy
Fri Feb 25 02:26:15 CET 2022;cell2;idle
Fri Feb 25 02:26:15 CET 2022;cell2;failure
Fri Feb 25 02:27:21 CET 2022;cell1;idle
Fri Feb 25 02:27:21 CET 2022;cell1;busy
Fri Feb 25 02:32:59 CET 2022;cell1;idle
Fri Feb 25 02:35:13 CET 2022;cell2;idle
Fri Feb 25 02:35:13 CET 2022;cell2;busy
Fri Feb 25 02:35:13 CET 2022;agv;idle
Fri Feb 25 02:35:13 CET 2022;agv;busy
Fri Feb 25 02:35:41 CET 2022;agv;idle
Fri Feb 25 02:35:41 CET 2022;cell1;busy
Fri Feb 25 02:35:41 CET 2022;agv;busy
Fri Feb 25 02:37:41 CET 2022;agv;idle
Fri Feb 25 02:37:41 CET 2022;agv;busy
Fri Feb 25 02:42:08 CET 2022;cell1;idle
Fri Feb 25 02:42:08 CET 2022;cell1;busy
Fri Feb 25 02:42:11 CET 2022;cell2;idle
Fri Feb 25 02:42:11 CET 2022;cell2;busy
Fri Feb 25 02:42:11 CET 2022;agv;idle
Fri Feb 25 02:42:11 CET 2022;agv;busy
Fri Feb 25 02:45:16 CET 2022;agv;idle
Fri Feb 25 02:45:16 CET 2022;agv;busy
Fri Feb 25 02:45:56 CET 2022;cell2;idle
Fri Feb 25 02:45:56 CET 2022;cell2;busy
Fri Feb 25 02:47:30 CET 2022;cell1;idle
Fri Feb 25 02:47:30 CET 2022;cell1;busy
Fri Feb 25 02:48:26 CET 2022;agv;idle
Fri Feb 25 02:48:26 CET 2022;agv;busy
Fri Feb 25 02:50:21 CET 2022;agv;idle
Fri Feb 25 02:50:21 CET 2022;agv;busy
Fri Feb 25 02:51:51 CET 2022;cell2;idle
Fri Feb 25 02:51:51 CET 2022;cell2;busy
Fri Feb 25 02:52:11 CET 2022;cell1;idle
Fri Feb 25 02:52:11 CET 2022;cell1;busy
Fri Feb 25 02:53:33 CET 2022;agv;idle
Fri Feb 25 02:53:33 CET 2022;agv;busy
Fri Feb 25 02:57:09 CET 2022;cell2;idle
Fri Feb 25 02:57:09 CET 2022;cell2;busy
Fri Feb 25 02:57:09 CET 2022;agv;idle
Fri Feb 25 02:57:09 CET 2022;agv;busy
Fri Feb 25 02:57:48 CET 2022;cell1;idle
Fri Feb 25 02:58:55 CET 2022;agv;idle
Fri Feb 25 02:58:55 CET 2022;cell1;busy
Fri Feb 25 02:58:55 CET 2022;agv;busy
Fri Feb 25 03:01:31 CET 2022;cell2;idle
Fri Feb 25 03:01:31 CET 2022;cell2;failure
Fri Feb 25 03:01:39 CET 2022;agv;idle
Fri Feb 25 03:01:39 CET 2022;agv;busy
Fri Feb 25 03:04:22 CET 2022;cell1;idle
Fri Feb 25 03:04:22 CET 2022;cell1;busy
Fri Feb 25 03:08:52 CET 2022;cell1;idle
Fri Feb 25 03:11:41 CET 2022;cell2;idle
Fri Feb 25 03:11:41 CET 2022;cell2;busy
Fri Feb 25 03:11:41 CET 2022;agv;idle
Fri Feb 25 03:11:41 CET 2022;agv;busy
Fri Feb 25 03:15:29 CET 2022;agv;idle
Fri Feb 25 03:15:29 CET 2022;cell1;busy
Fri Feb 25 03:15:29 CET 2022;agv;busy
Fri Feb 25 03:16:48 CET 2022;agv;idle
Fri Feb 25 03:16:48 CET 2022;agv;busy
Fri Feb 25 03:17:56 CET 2022;cell2;idle
Fri Feb 25 03:17:56 CET 2022;cell2;busy
Fri Feb 25 03:19:45 CET 2022;agv;idle
Fri Feb 25 03:19:45 CET 2022;agv;busy
Fri Feb 25 03:21:16 CET 2022;cell1;idle
Fri Feb 25 03:21:16 CET 2022;cell1;busy
Fri Feb 25 03:24:17 CET 2022;cell2;idle
Fri Feb 25 03:24:17 CET 2022;cell2;busy
Fri Feb 25 03:24:17 CET 2022;agv;idle
Fri Feb 25 03:24:17 CET 2022;agv;busy
Fri Feb 25 03:26:57 CET 2022;agv;idle
Fri Feb 25 03:26:57 CET 2022;agv;busy
Fri Feb 25 03:26:58 CET 2022;cell1;idle
Fri Feb 25 03:26:58 CET 2022;cell1;busy
Fri Feb 25 03:29:08 CET 2022;agv;idle
Fri Feb 25 03:29:08 CET 2022;agv;busy
Fri Feb 25 03:31:08 CET 2022;cell2;idle
Fri Feb 25 03:31:08 CET 2022;cell2;busy
Fri Feb 25 03:34:01 CET 2022;cell1;idle
Fri Feb 25 03:34:01 CET 2022;cell1;failure
Fri Feb 25 03:34:38 CET 2022;agv;idle
Fri Feb 25 03:34:38 CET 2022;agv;busy
Fri Feb 25 03:36:53 CET 2022;cell2;idle
Fri Feb 25 03:36:53 CET 2022;cell2;failure
Fri Feb 25 03:45:26 CET 2022;cell2;idle
Fri Feb 25 03:45:26 CET 2022;cell2;busy
Fri Feb 25 03:45:26 CET 2022;agv;idle
Fri Feb 25 03:45:26 CET 2022;agv;busy
Fri Feb 25 03:45:32 CET 2022;cell1;idle
Fri Feb 25 03:45:32 CET 2022;cell1;busy
Fri Feb 25 03:46:54 CET 2022;agv;idle
Fri Feb 25 03:46:54 CET 2022;agv;busy
Fri Feb 25 03:46:54 CET 2022;agv;idle
Fri Feb 25 03:46:54 CET 2022;agv;busy
Fri Feb 25 03:46:54 CET 2022;agv;idle
Fri Feb 25 03:46:54 CET 2022;agv;busy
Fri Feb 25 03:48:04 CET 2022;agv;idle
Fri Feb 25 03:48:04 CET 2022;agv;busy
Fri Feb 25 03:50:02 CET 2022;cell2;idle
Fri Feb 25 03:50:02 CET 2022;cell2;busy
Fri Feb 25 03:50:34 CET 2022;agv;idle
Fri Feb 25 03:50:34 CET 2022;agv;busy
Fri Feb 25 03:52:14 CET 2022;cell1;idle
Fri Feb 25 03:52:14 CET 2022;cell1;busy
Fri Feb 25 03:54:25 CET 2022;agv;idle
Fri Feb 25 03:54:25 CET 2022;agv;busy
Fri Feb 25 03:54:55 CET 2022;cell2;idle
Fri Feb 25 03:54:55 CET 2022;cell2;busy
Fri Feb 25 03:55:35 CET 2022;agv;idle
Fri Feb 25 03:55:35 CET 2022;agv;busy
Fri Feb 25 03:59:03 CET 2022;agv;idle
Fri Feb 25 03:59:03 CET 2022;agv;busy
Fri Feb 25 03:59:29 CET 2022;cell1;idle
Fri Feb 25 03:59:29 CET 2022;cell1;busy
Fri Feb 25 04:00:03 CET 2022;cell2;idle
Fri Feb 25 04:00:03 CET 2022;cell2;busy
Fri Feb 25 04:02:00 CET 2022;agv;idle
Fri Feb 25 04:02:00 CET 2022;agv;busy
Fri Feb 25 04:04:32 CET 2022;agv;idle
Fri Feb 25 04:04:32 CET 2022;agv;busy
Fri Feb 25 04:05:07 CET 2022;cell1;idle
Fri Feb 25 04:05:07 CET 2022;cell1;busy
Fri Feb 25 04:06:43 CET 2022;cell2;idle
Fri Feb 25 04:06:43 CET 2022;cell2;failure
Fri Feb 25 04:07:29 CET 2022;agv;idle
Fri Feb 25 04:07:29 CET 2022;agv;busy
Fri Feb 25 04:08:56 CET 2022;agv;idle
Fri Feb 25 04:08:56 CET 2022;agv;busy
Fri Feb 25 04:11:29 CET 2022;cell1;idle
Fri Feb 25 04:11:29 CET 2022;cell1;busy
Fri Feb 25 04:12:07 CET 2022;agv;idle
Fri Feb 25 04:12:07 CET 2022;agv;busy
Fri Feb 25 04:15:09 CET 2022;agv;idle
Fri Feb 25 04:15:09 CET 2022;agv;busy
Fri Feb 25 04:16:13 CET 2022;cell2;idle
Fri Feb 25 04:16:13 CET 2022;cell2;busy
Fri Feb 25 04:17:22 CET 2022;cell1;idle
Fri Feb 25 04:17:22 CET 2022;cell1;busy
Fri Feb 25 04:17:41 CET 2022;agv;idle
Fri Feb 25 04:17:41 CET 2022;agv;busy
Fri Feb 25 04:19:55 CET 2022;agv;idle
Fri Feb 25 04:19:55 CET 2022;agv;busy
Fri Feb 25 04:22:24 CET 2022;cell2;idle
Fri Feb 25 04:22:24 CET 2022;cell2;busy
Fri Feb 25 04:22:24 CET 2022;agv;idle
Fri Feb 25 04:22:24 CET 2022;agv;busy
Fri Feb 25 04:23:48 CET 2022;cell1;idle
Fri Feb 25 04:23:48 CET 2022;cell1;busy
Fri Feb 25 04:28:22 CET 2022;cell2;idle
Fri Feb 25 04:28:22 CET 2022;cell2;busy
Fri Feb 25 04:28:22 CET 2022;agv;idle
Fri Feb 25 04:28:22 CET 2022;agv;busy
Fri Feb 25 04:28:58 CET 2022;cell1;idle
Fri Feb 25 04:28:58 CET 2022;cell1;busy
Fri Feb 25 04:33:51 CET 2022;cell2;idle
Fri Feb 25 04:33:51 CET 2022;cell2;failure
Fri Feb 25 04:35:42 CET 2022;cell1;idle
Fri Feb 25 04:35:42 CET 2022;cell1;failure
Fri Feb 25 04:45:03 CET 2022;cell2;idle
Fri Feb 25 04:45:03 CET 2022;cell2;busy
Fri Feb 25 04:45:03 CET 2022;agv;idle
Fri Feb 25 04:45:03 CET 2022;agv;failure
Fri Feb 25 04:45:13 CET 2022;cell1;idle
Fri Feb 25 04:45:13 CET 2022;cell1;busy
Fri Feb 25 04:50:17 CET 2022;cell1;idle
Fri Feb 25 04:50:17 CET 2022;cell1;busy
Fri Feb 25 04:51:49 CET 2022;cell2;idle
Fri Feb 25 04:51:49 CET 2022;cell2;busy
Fri Feb 25 04:54:50 CET 2022;agv;idle
Fri Feb 25 04:54:50 CET 2022;agv;busy
Fri Feb 25 04:58:07 CET 2022;cell1;idle
Fri Feb 25 04:58:07 CET 2022;cell1;busy
Fri Feb 25 04:58:10 CET 2022;cell2;idle
Fri Feb 25 04:58:10 CET 2022;cell2;busy
Fri Feb 25 04:58:12 CET 2022;agv;idle
Fri Feb 25 04:58:12 CET 2022;agv;busy
Fri Feb 25 05:01:30 CET 2022;agv;idle
Fri Feb 25 05:01:30 CET 2022;agv;busy
Fri Feb 25 05:02:24 CET 2022;agv;idle
Fri Feb 25 05:02:24 CET 2022;agv;busy
Fri Feb 25 05:04:09 CET 2022;cell1;idle
Fri Feb 25 05:04:09 CET 2022;cell1;busy
